id;title;buyer;country;cpv_codes;deadline;status;publication_date;source_url;source
268110-2016;Italia-Roma: Servizi di consulenza in materia di sicurezza;Rete Ferroviaria Italiana SpA — Gruppo Ferrovie dello Stato Italiane — Direzione Acquisti — Sistemi di Qualificazione e Vendor Rating;ITA;79417000;;Unknown;2016-08-03+02:00;https://ted.europa.eu/it/notice/-/detail/268110-2016;TED
266619-2017;Italia-Roma: Servizi di consulenza in materia di sicurezza;Rete Ferroviaria Italiana SpA — Gruppo Ferrovie dello Stato Italiane — Direzione Acquisti;ITA;79417000;;Unknown;2017-07-11+02:00;https://ted.europa.eu/it/notice/-/detail/266619-2017;TED
54038-2019;Belgio-Bruxelles: Servizi di consulenza commerciale e di gestione e servizi connessi;SNCB-Procurement;BEL;79400000;;Unknown;2019-02-04+01:00;https://ted.europa.eu/it/notice/-/detail/54038-2019;TED
123249-2019;Belgio-Bruxelles: Locomotive e materiale rotabile e parti associate ferrotranviarie;SNCB-Procurement;BEL;79400000;;Unknown;2019-03-15+01:00;https://ted.europa.eu/it/notice/-/detail/123249-2019;TED
184510-2019;Italia-Milano: Servizi di certificazione;A2A S.p.A.;ITA;79132000;;Unknown;2019-04-18+02:00;https://ted.europa.eu/it/notice/-/detail/184510-2019;TED
276055-2019;Italia-Roma: Servizi di consulenza giuridica e di rappresentanza;Poste Italiane S.p.A. — Corporate Affairs — Governo dei rischi di gruppo — Qualificazione fornitori;ITA;79110000;;Unknown;2019-06-13+02:00;https://ted.europa.eu/it/notice/-/detail/276055-2019;TED
506208-2019;Italia-Grosseto: Servizi di riparazione e manutenzione;Acquedotto del Fiora S.p.A.;ITA;79111000, 79400000, 79410000;;Unknown;2019-10-25+02:00;https://ted.europa.eu/it/notice/-/detail/506208-2019;TED
95694-2020;Italia-Perugia: Servizi di riparazione e manutenzione;Umbra Acque S.p.A.;ITA;79410000;;Unknown;2020-02-26+01:00;https://ted.europa.eu/it/notice/-/detail/95694-2020;TED
142431-2020;Belgio-Bruxelles: Locomotive e materiale rotabile e parti associate ferrotranviarie;SNCB-Procurement;BEL;79400000;;Unknown;2020-03-24+01:00;https://ted.europa.eu/it/notice/-/detail/142431-2020;TED
204467-2021;Italia-Bari: Erogazione di acqua e servizi connessi;Acquedotto Pugliese SpA;ITA;79132000, 79417000;;Unknown;2021-04-23+02:00;https://ted.europa.eu/it/notice/-/detail/204467-2021;TED
298172-2021;Italia-Forlì: Servizi di ingegneria;Romagna Acque — Società delle fonti SpA;ITA;79132000, 79417000;;Unknown;2021-06-14+02:00;https://ted.europa.eu/it/notice/-/detail/298172-2021;TED
134210-2022;Lussemburgo-Lussemburgo: Invito a manifestare interesse;Corte dei conti europea,;LUX;79400000;2026-09-30;Open;2022-03-15+01:00;https://ted.europa.eu/it/notice/-/detail/134210-2022;TED
294710-2022;Lussemburgo-Lussemburgo: Invito a manifestare interesse per la stesura di un elenco di esperti;Ufficio delle pubblicazioni dell'Unione europea (OP);LUX;79418000;2027-03-03;Open;2022-06-03+02:00;https://ted.europa.eu/it/notice/-/detail/294710-2022;TED
395986-2022;Belgio-Bruxelles: Azioni di comunicazione complessa;Commissione europea, direzione generale della Comunicazione (COMM);BEL;79413000, 79416000, 79416200;2026-08-19;Open;2022-07-21+02:00;https://ted.europa.eu/it/notice/-/detail/395986-2022;TED
696872-2022;Italia-Bari: Erogazione di acqua e servizi connessi;Acquedotto Pugliese S.p.A.;ITA;79132000, 79417000;;Unknown;2022-12-16+01:00;https://ted.europa.eu/it/notice/-/detail/696872-2022;TED
84009-2023;Italia-Roma: Servizi generali di consulenza gestionale;Ferservizi S.p.A. - Gruppo Ferrovie dello Stato Italiane (Società con socio unico soggetta alla direzione e coordinamento di Ferrovie dello Stato Italiane S.p.A.);ITA;79411000, 79412000, 79415200;;Unknown;2023-02-10+01:00;https://ted.europa.eu/it/notice/-/detail/84009-2023;TED
